,actalog,img_hi,img_lo,img_mid,pool_reduction_pct
2019-10-20 17:00:00,19.0,7.0,5.0,6.0,0.6842105263157895
2019-10-20 17:00:02,17.0,5.0,3.0,4.0,0.7647058823529411
2019-10-20 17:00:05,18.0,5.0,3.0,4.0,0.7777777777777778
2019-10-20 17:00:31,19.0,6.0,3.0,4.5,0.7631578947368421
2019-10-20 17:00:37,18.0,5.0,2.0,3.5,0.8055555555555556
2019-10-20 17:00:38,19.0,6.0,2.0,4.0,0.7894736842105263
2019-10-20 17:00:59,20.0,7.0,2.0,4.5,0.775
2019-10-20 17:01:00,20.0,8.0,7.0,7.5,0.625
2019-10-20 17:01:04,19.0,7.0,6.0,6.5,0.6578947368421053
2019-10-20 17:01:18,20.0,8.0,6.0,7.0,0.65
2019-10-20 17:01:21,21.0,9.0,7.0,8.0,0.6190476190476191
2019-10-20 17:01:22,22.0,9.0,7.0,8.0,0.6363636363636364
2019-10-20 17:01:24,21.0,8.0,6.0,7.0,0.6666666666666666
2019-10-20 17:01:28,20.0,7.0,5.0,6.0,0.7
2019-10-20 17:01:35,19.0,6.0,4.0,5.0,0.7368421052631579
2019-10-20 17:01:37,18.0,5.0,3.0,4.0,0.7777777777777778
2019-10-20 17:02:00,18.0,6.0,5.0,5.5,0.6944444444444444
2019-10-20 17:02:03,20.0,7.0,6.0,6.5,0.675
2019-10-20 17:02:10,19.0,6.0,5.0,5.5,0.7105263157894737
2019-10-20 17:02:12,20.0,7.0,6.0,6.5,0.675
2019-10-20 17:02:18,21.0,8.0,6.0,7.0,0.6666666666666666
2019-10-20 17:02:20,20.0,7.0,5.0,6.0,0.7
2019-10-20 17:02:24,19.0,6.0,4.0,5.0,0.7368421052631579
2019-10-20 17:02:28,20.0,7.0,4.0,5.5,0.725
2019-10-20 17:02:46,21.0,7.0,4.0,5.5,0.7380952380952381
2019-10-20 17:02:53,22.0,8.0,4.0,6.0,0.7272727272727273
2019-10-20 17:03:00,22.0,10.0,8.0,9.0,0.5909090909090909
2019-10-20 17:03:04,23.0,10.0,8.0,9.0,0.6086956521739131
2019-10-20 17:03:10,24.0,11.0,8.0,9.5,0.6041666666666666
2019-10-20 17:03:22,25.0,11.0,8.0,9.5,0.62
2019-10-20 17:03:27,24.0,10.0,7.0,8.5,0.6458333333333334
2019-10-20 17:03:43,25.0,11.0,7.0,9.0,0.64
2019-10-20 17:03:49,26.0,12.0,7.0,9.5,0.6346153846153846
2019-10-20 17:03:53,27.0,12.0,7.0,9.5,0.6481481481481481
2019-10-20 17:03:57,25.0,10.0,5.0,7.5,0.7
2019-10-20 17:04:00,25.0,14.0,10.0,12.0,0.52
2019-10-20 17:04:52,26.0,14.0,10.0,12.0,0.5384615384615384
2019-10-20 17:05:00,26.0,16.0,14.0,15.0,0.4230769230769231
2019-10-20 17:05:06,27.0,17.0,14.0,15.5,0.42592592592592593
2019-10-20 17:05:14,28.0,17.0,14.0,15.5,0.44642857142857145
2019-10-20 17:05:27,29.0,17.0,14.0,15.5,0.46551724137931033
2019-10-20 17:05:36,30.0,17.0,14.0,15.5,0.48333333333333334
2019-10-20 17:06:00,30.0,20.0,17.0,18.5,0.38333333333333336
2019-10-20 17:06:38,31.0,21.0,17.0,19.0,0.3870967741935484
2019-10-20 17:06:41,32.0,22.0,17.0,19.5,0.390625
2019-10-20 17:06:51,33.0,23.0,17.0,20.0,0.3939393939393939
2019-10-20 17:07:00,33.0,23.0,23.0,23.0,0.30303030303030304
2019-10-20 17:07:07,34.0,24.0,23.0,23.5,0.3088235294117647
2019-10-20 17:07:16,33.0,23.0,22.0,22.5,0.3181818181818182
2019-10-20 17:07:41,34.0,24.0,22.0,23.0,0.3235294117647059
2019-10-20 17:07:51,35.0,24.0,22.0,23.0,0.34285714285714286
2019-10-20 17:08:00,35.0,24.0,24.0,24.0,0.3142857142857143
2019-10-20 17:08:06,36.0,24.0,24.0,24.0,0.3333333333333333
2019-10-20 17:08:12,37.0,25.0,25.0,25.0,0.32432432432432434
2019-10-20 17:08:54,38.0,25.0,25.0,25.0,0.34210526315789475
2019-10-20 17:09:00,38.0,27.0,25.0,26.0,0.3157894736842105
2019-10-20 17:09:24,39.0,28.0,25.0,26.5,0.32051282051282054
2019-10-20 17:09:46,40.0,29.0,25.0,27.0,0.325
2019-10-20 17:09:58,41.0,30.0,25.0,27.5,0.32926829268292684
2019-10-20 17:10:00,41.0,30.0,30.0,30.0,0.2682926829268293
2019-10-20 17:10:30,42.0,30.0,30.0,30.0,0.2857142857142857
2019-10-20 17:10:36,43.0,31.0,30.0,30.5,0.29069767441860467
2019-10-20 17:10:39,44.0,31.0,30.0,30.5,0.3068181818181818
2019-10-20 17:10:42,45.0,32.0,30.0,31.0,0.3111111111111111
2019-10-20 17:11:00,45.0,35.0,32.0,33.5,0.25555555555555554
2019-10-20 17:11:17,46.0,36.0,32.0,34.0,0.2608695652173913
2019-10-20 17:11:30,47.0,36.0,32.0,34.0,0.2765957446808511
2019-10-20 17:11:31,48.0,37.0,32.0,34.5,0.28125
2019-10-20 17:11:33,49.0,38.0,32.0,35.0,0.2857142857142857
2019-10-20 17:11:36,50.0,38.0,32.0,35.0,0.3
2019-10-20 17:11:39,51.0,39.0,32.0,35.5,0.30392156862745096
2019-10-20 17:11:47,52.0,40.0,32.0,36.0,0.3076923076923077
2019-10-20 17:11:52,53.0,41.0,32.0,36.5,0.3113207547169811
2019-10-20 17:11:54,54.0,42.0,32.0,37.0,0.3148148148148148
2019-10-20 17:12:00,54.0,44.0,42.0,43.0,0.2037037037037037
2019-10-20 17:12:04,55.0,45.0,42.0,43.5,0.20909090909090908
2019-10-20 17:12:16,56.0,46.0,43.0,44.5,0.20535714285714285
2019-10-20 17:12:19,57.0,47.0,44.0,45.5,0.20175438596491227
2019-10-20 17:12:27,58.0,48.0,44.0,46.0,0.20689655172413793
2019-10-20 17:12:45,59.0,49.0,44.0,46.5,0.211864406779661
2019-10-20 17:12:49,60.0,50.0,44.0,47.0,0.21666666666666667
2019-10-20 17:12:58,61.0,50.0,44.0,47.0,0.22950819672131148
2019-10-20 17:13:00,61.0,52.0,50.0,51.0,0.16393442622950818
2019-10-20 17:13:01,62.0,53.0,51.0,52.0,0.16129032258064516
2019-10-20 17:13:04,63.0,54.0,52.0,53.0,0.15873015873015872
2019-10-20 17:13:53,64.0,54.0,52.0,53.0,0.171875
2019-10-20 17:14:00,64.0,55.0,54.0,54.5,0.1484375
2019-10-20 17:14:03,65.0,56.0,54.0,55.0,0.15384615384615385
2019-10-20 17:14:04,66.0,57.0,54.0,55.5,0.1590909090909091
2019-10-20 17:14:10,67.0,58.0,54.0,56.0,0.16417910447761194
2019-10-20 17:14:18,68.0,59.0,54.0,56.5,0.16911764705882354
2019-10-20 17:14:23,67.0,58.0,53.0,55.5,0.17164179104477612
2019-10-20 17:14:33,68.0,59.0,53.0,56.0,0.17647058823529413
2019-10-20 17:14:36,69.0,59.0,53.0,56.0,0.18840579710144928
2019-10-20 17:14:45,70.0,60.0,53.0,56.5,0.19285714285714287
2019-10-20 17:14:50,72.0,60.0,53.0,56.5,0.2152777777777778
2019-10-20 17:14:59,73.0,61.0,53.0,57.0,0.2191780821917808
2019-10-20 17:15:00,73.0,62.0,61.0,61.5,0.15753424657534246
2019-10-20 17:15:17,74.0,63.0,61.0,62.0,0.16216216216216217
2019-10-20 17:15:23,76.0,65.0,61.0,63.0,0.17105263157894737
2019-10-20 17:15:31,77.0,66.0,61.0,63.5,0.17532467532467533
